date,batch,Number,Temperature,Density,K,Na,Ca,Mg,HCO3,SO4,Cl,pH,pe,Li,Sr,B,Br,NO3,TDS,B2O3,Rb ug/L,Cs ug/L
2021/8/29,1, D01-1,21.3,1.2127,0.15 ,3.44 ,0.03 ,1.30 ,0.01 ,0.05 ,5.94 ,6.86 ,,0.00882853,0.000330861,0.006704903,7.51E-05,0.000329006,333.78,,,
2021/8/29,1, D01-2,18.9,1.2194,0.317993365,2.833825777,0.028369679,1.57041761,0.010675748,0.04479492,5.871125152,6.78,,0.009083573,0.000354828,0.007392229,5.76E-05,0.000359649,330.19,,,
2021/8/29,1, D01-3,17.6,1.222,0.372829509,2.589760689,0.028045312,1.619008434,0.010842915,0.04483656,5.724057202,6.72,,0.00945245,0.000357909,0.007688252,5.13E-05,0.000127409,322.68,,,
2021/8/29,1, D01-4,15.9,1.2349,0.665527657,2.166006975,0.027172015,1.849413701,0.011762334,0.041484489,5.766733422,6.62,,0.009501441,0.000372175,0.007764107,6.13E-05,9.68E-05,331.2,,,
2021/8/29,1, D01-5,13.8,1.2616,0.375182553,0.661033175,0.022503618,3.205348694,0.015749761,0.024744951,7.002228302,6.2,,0.01173487,0.000292856,0.008787234,3.25E-05,0.000216112,360.48,,,
2021/8/29,1, D01-6,13.3,1.267,0.287045728,0.539674844,0.024364988,3.466447233,0.016048039,0.021507391,7.40896398,5.95,,0.012393372,0.000279388,0.009990749,4.26E-05,0.000216112,374.81,,,
2021/8/29,1, D01-7,12.4,1.2666,0.260701872,0.53301971,0.024252707,3.460275663,0.016362707,0.021320008,7.390009308,5.88,,0.012878963,0.00027528,0.009978723,5.38E-05,0.000201597,372.8,,,
2021/8/29,1, D01-8,12.1,1.2643,0.270779036,0.569818688,0.025200858,3.374490846,0.015302343,0.022298563,7.25439314,5.88,,0.012573487,0.000281328,0.010056429,6.38E-05,0.000195146,367.22,,,
2021/8/29,1, D06-1,20.3,1.2103,0.110362855,3.657887994,0.031039473,1.221394775,0.007701158,0.047740995,5.994330522,6.91,,0.008742075,0.000377882,0.006010176,9.89E-05,0.000179018,337.09,,,
2021/8/29,1, D06-2,19.2,1.237,0.697012402,1.96191619,0.026972404,1.958691627,0.011423083,0.040693317,5.783149522,6.6,,0.00965562,0.000368295,0.008038853,0.000110132,0.000185469,330.89,,,
2021/8/29,1, D06-3,17.5,1.2394,0.753945824,2.003934881,0.027521333,2.071795927,0.011862307,0.040495524,6.051138127,6.57,,0.009612392,0.000371947,0.008311748,1.75E-05,0.000141924,346.35,,,
2021/8/29,1, D11-1,21.3,1.2081,0.039080983,3.738924041,0.029592295,1.1462662,0.007592991,0.05132209,5.918088737,6.95,,0.008942363,0.00030404,0.005531915,9.64E-05,0.000122571,331.9,,,
2021/8/29,1, D11-2,21,1.2077,0.0373162,3.775940506,0.02894356,1.103846945,0.007360268,0.050458047,5.8722252,6.87,,0.008628242,0.000296165,0.005675301,0.000110132,0.000120958,329.9,,,
2021/8/29,1, BS1,21.3,1.2305,0.363 ,1.885 ,0.046 ,2.153 ,0.013 ,0.046 ,6.083 ,6.460 ,4.000 ,0.012739193,0.00059701,0.006811286,0.000177713,0.000351585,332.81,,,
2021/8/29,1, CL1,16.5,1.2168,0.235150889,2.835739672,0.038100704,1.55926764,0.010577415,0.047605663,5.845231715,6.64,,0.00951585,0.000354942,0.005282146,0.000163947,0.000369326,326.45,,,
2021/8/29,1, HS1,20.5,1.1982,0.036 ,2.740 ,0.039 ,1.522 ,0.013 ,0.066 ,5.634 ,6.940 ,4.000 ,0.012050432,0.000344442,0.005476411,0.001063777,7.58E-05,310.1,,,
2021/9/10,2, D01-1,19.5,1.2163,0.30 ,2.71 ,0.03 ,1.39 ,0.01 ,0.05 ,5.77 ,6.82 ,,0.009221902,0.000435974,0.00693802,0.000173959,0.000291106,319.1,241.5,,
