date,batch,Number,Temperature,Density,pH,HCO3,Cl,K,Na,Ca,Mg,SO4,Li,Sr,B,Br,NO3,TDS,B2O3,Rb ug/L,Cs ug/L
2021/8/29,1, D01-1,21.3,1.2127,6.86,552.8,210416,6024,79063,1163,31671,4698,61.27,28.99,72.48,6,20.4,333.78,,,
2021/8/29,1, D01-2,18.9,1.2194,6.78,651.4,208149,12433,65149,1137,38169,4303,63.04,31.09,79.91,4.6,22.3,330.19,,,
2021/8/29,1, D01-3,17.6,1.222,6.72,661.6,202935,14577,59538,1124,39350,4307,65.6,31.36,83.11,4.1,7.9,322.68,,,
2021/8/29,1, D01-4,15.9,1.2349,6.62,717.7,204448,26021,49796,1089,44950,3985,65.94,32.61,83.93,4.9,6,331.2,,,
2021/8/29,1, D01-5,13.8,1.2616,6.2,961,248250,14669,15197,901.9,77906,2377,81.44,25.66,94.99,2.6,13.4,360.48,,,
2021/8/29,1, D01-6,13.3,1.267,5.95,979.2,262670,11223,12407,976.5,84252,2066,86.01,24.48,108,3.4,13.4,374.81,,,
2021/8/29,1, D01-7,12.4,1.2666,5.88,998.4,261998,10193,12254,972,84102,2048,89.38,24.12,107.87,4.3,12.5,372.8,,,
2021/8/29,1, D01-8,12.1,1.2643,5.88,933.7,257190,10587,13100,1010,82017,2142,87.26,24.65,108.71,5.1,12.1,367.22,,,
2021/8/29,1, D06-1,20.3,1.2103,6.91,469.9,212517,4315,84094,1244,29686,4586,60.67,33.11,64.97,7.9,11.1,337.09,,,
2021/8/29,1, D06-2,19.2,1.237,6.6,697,205030,27252,45104,1081,47606,3909,67.01,32.27,86.9,8.8,11.5,330.89,,,
2021/8/29,1, D06-3,17.5,1.2394,6.57,723.8,214531,29478,46070,1103,50355,3890,66.71,32.59,89.85,1.4,8.8,346.35,,,
2021/8/29,1, D11-1,21.3,1.2081,6.95,463.3,209814,1528,85957,1186,27860,4930,62.06,26.64,59.8,7.7,7.6,331.9,,,
2021/8/29,1, D11-2,21,1.2077,6.87,449.1,208188,1459,86808,1160,26829,4847,59.88,25.95,61.35,8.8,7.5,329.9,,,
2021/8/29,1, BS1,21.3,1.2305,6.46,768.8,215653,14198,43330,1835,52337,4442,88.41,52.31,73.63,14.2,21.8,332.81,,,
2021/8/29,1, CL1,16.5,1.2168,6.64,645.4,207231,9194,65193,1527,37898,4573,66.04,31.1,57.1,13.1,22.9,326.45,,,
2021/8/29,1, HS1,20.5,1.1982,6.94,804.2,199743,1396,62987,1565,36981,6362,83.63,30.18,59.2,85,4.7,310.1,,,
2021/9/10,2, D01-1,19.5,1.2163,6.82,598.8,204460,11863,62344,1348,33851,4380,64,38.2,75,13.9,18.05,319.1,241.5,,
2021/9/10,2, D01-2,18.8,1.2176,6.76,615,210474,13930,55291,1273,39010,4174,65.6,34.3,91,20.85,0.03,325,293,,
2021/9/10,2, D01-3,17.6,1.2193,6.74,624.1,210474,14770,55374,1248,38690,4063,64.2,33.5,86.4,15,0.03,325.4,278.2,,
2021/9/10,2, D01-4,16.7,1.2319,6.61,686.8,224505,28770,42801,1226,45750,3815,66.6,36.4,91.8,10,66.45,347.8,295.6,,
2021/9/10,2, D01-5,15.1,1.2418,6.43,1535,237535,28000,26033,1116,59430,3336,73.3,33.4,94.9,4.2,93.85,357.3,305.6,,
2021/9/10,2, D01-6,14.8,1.2454,6.34,1697,242546,21600,19971,1073,66290,2884,76,30.7,96.1,11.45,97.3,356.4,309.4,,
2021/9/10,2, D06-1,20.4,1.2129,6.86,471.9,199449,6054,69141,1266,30360,4328,59.8,34.9,67.4,7.85,10.75,311.3,217,,
2021/9/10,2, D06-2,20.1,1.2316,6.61,577.6,218492,31830,45266,1300,41420,4071,63.2,36.4,79,322.3,0.03,343.5,254.4,,
2021/9/10,2, D06-3,19.1,1.2357,6.55,580.1,222100,35200,46240,1300,41090,4013,63.2,37,90.2,22.9,0.03,350.7,290.4,,
2021/9/10,2, D11-1,20.8,1.2092,6.98,824.4,196643,1643,78047,1291,26180,4492,58.7,28.5,82.8,10.4,0.03,309.3,266.6,,
2021/9/10,2, D11-2,20.4,1.2084,7.01,414.2,196442,1660,77646,1314,26220,4547,59,28.5,68.9,6.15,0.03,308.4,221.9,,
2021/9/10,2, BS1,16.5,1.2345,6.45,757.6,224505,19960,32521,1647,53660,3761,87.4,55.3,109.4,4.4,0.03,337.1,352.3,,
2021/9/10,2, CL1,18.5,1.2225,6.63,673.2,212879,14150,48464,1247,43400,4202,73.3,33.6,94.1,6.15,37.3,325.3,303,,
2021/9/10,2, CL2,18.4,1.2275,6.54,695.9,220897,17100,42370,1189,48420,3865,68.1,31.1,98,23.2,18.3,334.8,315.6,,
2021/9/10,2, HS1,27.5,1.2009,6.99,803.2,188023,1743,50296,1301,38110,5633,87.9,32.3,99,25.25,24.15,286.2,318.8,,
2021/9/20,3, D01-1,19.6,1.2126,6.84,587.7,200852,8063,67427,1273,31350,4538,61.1,34.5,100.4,9.99,0.03,314.3, ,,
